order	season	zone	orderNumber	group	redCollegeName	redTeamName	blueCollegeName	blueTeamName	redSideWinGameCount	blueSideWinGameCount
842	2018	北部	1	小组赛B	中国地质大学（北京）	LightSaber	北方工业大学	DreamTeam	1	1
843	2018	北部	2	小组赛C	黑河学院	LBT	北京科技大学	Reborn	0	2
844	2018	北部	3	小组赛D	天津商业大学	天商天狼	天津大学	北洋舰队EVO	0	2
845	2018	北部	4	小组赛E	黑龙江大学	Simba	大连交通大学	TOE	0	2
846	2018	北部	5	小组赛F	河北科技大学	Actor&Thinker	北京理工大学	IN2Bots	2	0
847	2018	北部	6	小组赛G	成都工业学院	涉科赛思	华北科技学院	Storms	0	2
848	2018	北部	7	小组赛H	沈阳工业大学	SUT ACE	辽宁工业大学	Roboteam	0	2
849	2018	北部	8	小组赛A	中国石油大学（北京）克拉玛依校区	GS(戈壁之魂)	燕山大学	YSU Eagle	0	2
850	2018	北部	9	小组赛B	中央民族大学	参北斗	华北理工大学	Dig up	1	1
851	2018	北部	10	小组赛C	沈阳建筑大学	简锋机器人	辽宁科技大学	COD	0	2
852	2018	北部	11	小组赛D	重庆理工大学	士继Dreamer	中国石油大学（北京）	SPR	0	2
853	2018	北部	12	小组赛E	东北大学	TDT	沈阳大学	炽天使	2	0
854	2018	北部	13	小组赛F	沈阳航空航天大学	SH黑鹰	哈尔滨工业大学	I Hiter	0	2
855	2018	北部	14	小组赛G	哈尔滨工程大学	创梦之翼	山东科技大学	Smartrobot	0	2
856	2018	北部	15	小组赛H	哈尔滨工业大学（威海）	HERO	河北轨道运输职业技术学院	奇点智联	2	0
857	2018	北部	16	小组赛A	燕山大学	YSU Eagle	防灾科技学院	思玄	2	0
858	2018	北部	17	小组赛B	华北理工大学	Dig up	中国地质大学（北京）	LightSaber	2	0
859	2018	北部	18	小组赛C	辽宁科技大学	COD	黑河学院	LBT	2	0
860	2018	北部	19	小组赛D	中国石油大学（北京）	SPR	天津商业大学	天商天狼	2	0
861	2018	北部	20	小组赛E	沈阳大学	炽天使	黑龙江大学	Simba	2	0
862	2018	北部	21	小组赛F	哈尔滨工业大学	I Hiter	河北科技大学	Actor&Thinker	2	0
863	2018	北部	22	小组赛G	山东科技大学	Smartrobot	成都工业学院	涉科赛思	2	0
864	2018	北部	23	小组赛H	河北轨道运输职业技术学院	奇点智联	沈阳工业大学	SUT ACE	1	1
865	2018	北部	24	小组赛B	北方工业大学	DreamTeam	中央民族大学	参北斗	2	0
866	2018	北部	25	小组赛C	北京科技大学	Reborn	沈阳建筑大学	简锋机器人	2	0
867	2018	北部	26	小组赛D	天津大学	北洋舰队EVO	重庆理工大学	士继Dreamer	2	0
868	2018	北部	27	小组赛E	大连交通大学	TOE	东北大学	TDT	2	0
869	2018	北部	28	小组赛F	北京理工大学	IN2Bots	沈阳航空航天大学	SH黑鹰	1	1
870	2018	北部	29	小组赛G	华北科技学院	Storms	哈尔滨工程大学	创梦之翼	2	0
871	2018	北部	30	小组赛H	辽宁工业大学	Roboteam	哈尔滨工业大学（威海）	HERO	2	0
872	2018	北部	31	小组赛A	防灾科技学院	思玄	中国石油大学（北京）克拉玛依校区	GS(戈壁之魂)	2	0
873	2018	北部	32	小组赛B	中国地质大学（北京）	LightSaber	中央民族大学	参北斗	0	2
874	2018	北部	33	小组赛C	黑河学院	LBT	沈阳建筑大学	简锋机器人	2	0
875	2018	北部	34	小组赛D	天津商业大学	天商天狼	重庆理工大学	士继Dreamer	1	1
876	2018	北部	35	小组赛E	黑龙江大学	Simba	东北大学	TDT	0	2
877	2018	北部	36	小组赛F	河北科技大学	Actor&Thinker	沈阳航空航天大学	SH黑鹰	0	2
878	2018	北部	37	小组赛G	成都工业学院	涉科赛思	哈尔滨工程大学	创梦之翼	1	1
879	2018	北部	38	小组赛H	沈阳工业大学	SUT ACE	哈尔滨工业大学（威海）	HERO	0	2
880	2018	北部	39	小组赛B	华北理工大学	Dig up	北方工业大学	DreamTeam	1	1
881	2018	北部	40	小组赛C	辽宁科技大学	COD	北京科技大学	Reborn	1	1
882	2018	北部	41	小组赛D	中国石油大学（北京）	SPR	天津大学	北洋舰队EVO	2	0
883	2018	北部	42	小组赛E	沈阳大学	炽天使	大连交通大学	TOE	0	2
884	2018	北部	43	小组赛F	哈尔滨工业大学	I Hiter	北京理工大学	IN2Bots	2	0
885	2018	北部	44	小组赛G	山东科技大学	Smartrobot	华北科技学院	Storms	2	0
886	2018	北部	45	小组赛H	河北轨道运输职业技术学院	奇点智联	辽宁工业大学	Roboteam	0	2
887	2018	北部	46	1/8决赛	燕山大学	YSU Eagle	哈尔滨工业大学（威海）	HERO	2	1
888	2018	北部	47	1/8决赛	北方工业大学	DreamTeam	华北科技学院	Storms	2	0
889	2018	北部	48	1/8决赛	北京科技大学	Reborn	沈阳航空航天大学	SH黑鹰	2	0
890	2018	北部	49	1/8决赛	中国石油大学（北京）	SPR	东北大学	TDT	2	1
891	2018	北部	50	1/8决赛	大连交通大学	TOE	天津大学	北洋舰队EVO	2	0
892	2018	北部	51	1/8决赛	哈尔滨工业大学	I Hiter	辽宁科技大学	COD	2	0
893	2018	北部	52	1/8决赛	山东科技大学	Smartrobot	华北理工大学	Dig up	2	1
894	2018	北部	53	1/8决赛	辽宁工业大学	Roboteam	防灾科技学院	思玄	2	0
895	2018	北部	54	1/8决赛-败者组	哈尔滨工业大学（威海）	HERO	天津大学	北洋舰队EVO	1	2
896	2018	北部	55	1/8决赛-败者组	华北科技学院	Storms	辽宁科技大学	COD	2	0
897	2018	北部	56	1/8决赛-败者组	沈阳航空航天大学	SH黑鹰	华北理工大学	Dig up	0	2
898	2018	北部	57	1/8决赛-败者组	东北大学	TDT	防灾科技学院	思玄	2	0
899	2018	北部	58	1/4决赛	燕山大学	YSU Eagle	大连交通大学	TOE	0	2
900	2018	北部	59	1/4决赛	北方工业大学	DreamTeam	哈尔滨工业大学	I Hiter	0	2
901	2018	北部	60	1/4决赛	北京科技大学	Reborn	山东科技大学	Smartrobot	0	2
902	2018	北部	61	1/4决赛	中国石油大学（北京）	SPR	辽宁工业大学	Roboteam	2	0
903	2018	北部	62	1/8决赛-败者组	燕山大学	YSU Eagle	天津大学	北洋舰队EVO	2	1
904	2018	北部	63	1/8决赛-败者组	北方工业大学	DreamTeam	华北科技学院	Storms	2	0
905	2018	北部	64	1/8决赛-败者组	北京科技大学	Reborn	华北理工大学	Dig up	1	2
906	2018	北部	65	1/8决赛-败者组	辽宁工业大学	Roboteam	东北大学	TDT	0	2
907	2018	北部	66	半决赛	大连交通大学	TOE	山东科技大学	Smartrobot	0	2
908	2018	北部	67	半决赛	哈尔滨工业大学	I Hiter	中国石油大学（北京）	SPR	2	0
909	2018	北部	68	季军赛	大连交通大学	TOE	中国石油大学（北京）	SPR	2	3
910	2018	北部	69	决赛	山东科技大学	Smartrobot	哈尔滨工业大学	I Hiter	3	2
911	2018	复活赛	1	小组赛A	南华大学	MA	中国石油大学（华东）	RPS	0	2
912	2018	复活赛	2	小组赛B	重庆大学	Allspark	天津大学	北洋舰队EVO	0	2
913	2018	复活赛	3	小组赛C	桂林电子科技大学	Evolution	华南理工大学广州学院	野狼	1	1
914	2018	复活赛	4	小组赛D	北京科技大学	Reborn	上海交通大学	交龙	1	1
915	2018	复活赛	5	小组赛A	安徽信息工程学院	Artisans	电子科技大学成都学院	微城市V CTIM	0	2
916	2018	复活赛	6	小组赛B	中央民族大学	参北斗	深圳职业技术学院	RCIA	2	0
917	2018	复活赛	7	小组赛C	浙江大学	Hello World	华北科技学院	Storms	0	2
918	2018	复活赛	8	小组赛D	香港大学	HeraKles	东南大学	SUPERNOVA	1	1
919	2018	复活赛	9	小组赛A	电子科技大学成都学院	微城市V CTIM	南华大学	MA	1	1
920	2018	复活赛	10	小组赛B	深圳职业技术学院	RCIA	重庆大学	Allspark	0	2
921	2018	复活赛	11	小组赛C	华北科技学院	Storms	桂林电子科技大学	Evolution	1	1
922	2018	复活赛	12	小组赛D	东南大学	SUPERNOVA	北京科技大学	Reborn	0	2
923	2018	复活赛	13	小组赛A	安徽信息工程学院	Artisans	中国石油大学（华东）	RPS	0	2
924	2018	复活赛	14	小组赛B	中央民族大学	参北斗	天津大学	北洋舰队EVO	2	0
925	2018	复活赛	15	小组赛C	浙江大学	Hello World	华南理工大学广州学院	野狼	2	0
926	2018	复活赛	16	小组赛D	香港大学	HeraKles	上海交通大学	交龙	0	2
927	2018	复活赛	17	小组赛A	南华大学	MA	安徽信息工程学院	Artisans	0	2
928	2018	复活赛	18	小组赛B	重庆大学	Allspark	中央民族大学	参北斗	0	2
929	2018	复活赛	19	小组赛C	桂林电子科技大学	Evolution	浙江大学	Hello World	2	0
930	2018	复活赛	20	小组赛D	北京科技大学	Reborn	香港大学	HeraKles	2	0
931	2018	复活赛	21	小组赛A	中国石油大学（华东）	RPS	电子科技大学成都学院	微城市V CTIM	0	2
932	2018	复活赛	22	小组赛B	天津大学	北洋舰队EVO	深圳职业技术学院	RCIA	2	0
933	2018	复活赛	23	小组赛C	华南理工大学广州学院	野狼	华北科技学院	Storms	0	2
934	2018	复活赛	24	小组赛D	上海交通大学	交龙	东南大学	SUPERNOVA	1	1
935	2018	复活赛	25	8进4	电子科技大学成都学院	微城市V CTIM	天津大学	北洋舰队EVO	2	0
936	2018	复活赛	26	8进4	中国石油大学（华东）	RPS	中央民族大学	参北斗	0	2
937	2018	复活赛	27	8进4	北京科技大学	Reborn	桂林电子科技大学	Evolution	0	2
938	2018	复活赛	28	8进4	上海交通大学	交龙	华北科技学院	Storms	0	2
939	2018	复活赛	29	败者复活第1轮	天津大学	北洋舰队EVO	北京科技大学	Reborn	0	2
940	2018	复活赛	30	败者复活第1轮	中国石油大学（华东）	RPS	上海交通大学	交龙	0	2
941	2018	复活赛	31	胜者4进2	电子科技大学成都学院	微城市V CTIM	桂林电子科技大学	Evolution	0	2
942	2018	复活赛	32	胜者4进2	中央民族大学	参北斗	华北科技学院	Storms	1	2
943	2018	复活赛	33	败者复活第2轮	电子科技大学成都学院	微城市V CTIM	上海交通大学	交龙	1	2
944	2018	复活赛	34	败者复活第2轮	北京科技大学	Reborn	中央民族大学	参北斗	1	2
945	2018	国际	1	小组赛A	福冈联合大学	FUKUOKA NIWAKA	华盛顿大学	ARUW	2	0
946	2018	国际	2	小组赛B	伊利诺伊大学厄巴纳香槟分校	iRM	澳门科技大学	大潭山车队	2	0
947	2018	国际	3	小组赛C	香港大学	HeraKles	普渡大学	BoilerBot	2	0
948	2018	国际	4	小组赛D	PSU&CMU&GTICIST联队	Other Team	弗吉尼亚理工大学	RoboGrinder	1	1
949	2018	国际	5	小组赛A	华盛顿大学	ARUW	加州大学圣地亚哥分校	Triton Robotics	2	0
950	2018	国际	6	小组赛B	澳门科技大学	大潭山车队	香港科技大学	ENTERPRIZE	0	2
951	2018	国际	7	小组赛C	普渡大学	BoilerBot	新加坡南洋理工大学	MECATRON	1	1
952	2018	国际	8	小组赛D	弗吉尼亚理工大学	RoboGrinder	阿尔伯塔大学	Artificial Imbecile	2	0
953	2018	国际	9	小组赛A	加州大学圣地亚哥分校	Triton Robotics	福冈联合大学	FUKUOKA NIWAKA	0	2
954	2018	国际	10	小组赛B	香港科技大学	ENTERPRIZE	伊利诺伊大学厄巴纳香槟分校	iRM	2	0
955	2018	国际	11	小组赛C	新加坡南洋理工大学	MECATRON	香港大学	HeraKles	1	1
956	2018	国际	12	小组赛D	阿尔伯塔大学	Artificial Imbecile	PSU&CMU&GTICIST联队	Other Team	0	2
957	2018	国际	13	8进4	福冈联合大学	FUKUOKA NIWAKA	伊利诺伊大学厄巴纳香槟分校	iRM	2	0
958	2018	国际	14	8进4	华盛顿大学	ARUW	香港科技大学	ENTERPRIZE	0	2
959	2018	国际	15	8进4	弗吉尼亚理工大学	RoboGrinder	新加坡南洋理工大学	MECATRON	2	0
960	2018	国际	16	8进4	PSU&CMU&GTICIST联队	Other Team	香港大学	HeraKles	0	2
961	2018	国际	17	败者复活第1轮	伊利诺伊大学厄巴纳香槟分校	iRM	新加坡南洋理工大学	MECATRON	0	2
962	2018	国际	18	败者复活第1轮	华盛顿大学	ARUW	PSU&CMU&GTICIST联队	Other Team	0	2
963	2018	国际	19	胜者4进2	福冈联合大学	FUKUOKA NIWAKA	弗吉尼亚理工大学	RoboGrinder	2	0
964	2018	国际	20	胜者4进2	香港科技大学	ENTERPRIZE	香港大学	HeraKles	2	0
965	2018	国际	21	败者复活第2轮	弗吉尼亚理工大学	RoboGrinder	PSU&CMU&GTICIST联队	Other Team	2	0
966	2018	国际	22	败者复活第2轮	新加坡南洋理工大学	MECATRON	香港大学	HeraKles	2	0
967	2018	国际	23	复活赛名额争夺战	PSU&CMU&GTICIST联队	Other Team	香港大学	HeraKles	0	2
968	2018	国际	24	季军赛	弗吉尼亚理工大学	RoboGrinder	新加坡南洋理工大学	MECATRON	1	3
969	2018	国际	25	决赛	福冈联合大学	FUKUOKA NIWAKA	香港科技大学	ENTERPRIZE	1	3
970	2018	南部	1	小组赛A	华南农业大学	Riser	贵州师范学院	Jumper	1	1
971	2018	南部	2	小组赛B	厦门大学嘉庚学院&厦门大学漳州校区	海韵机器人	黄冈师范学院	HDR	2	0
972	2018	南部	3	小组赛C	哈尔滨工业大学（深圳）	南工骁鹰	上海第二工业大学	LEGENDARY	1	1
973	2018	南部	4	小组赛D	五邑大学	IMCA	南华大学	MA	0	2
974	2018	南部	5	小组赛E	四川大学	火锅	钦州学院	飞虎	0	2
975	2018	南部	6	小组赛F	南方科技大学	Artinx	重庆大学	Allspark	0	2
976	2018	南部	7	小组赛G	华南理工大学	荣耀 华南虎	中南大学	WinTs	2	0
977	2018	南部	8	小组赛H	佛山科学技术学院	醒狮	湖北汽车工业学院	Huat ARMY	2	0
978	2018	南部	9	小组赛A	东莞理工学院	ACE	深圳职业技术学院	RCIA	0	2
979	2018	南部	10	小组赛B	电子科技大学中山学院	RoboBraver	深圳大学	RobotPilots	0	2
980	2018	南部	11	小组赛C	仲恺农业工程学院	奇点	北京理工大学（珠海）	高巨毅恒	0	2
981	2018	南部	12	小组赛D	广西师范大学	虎师	西交利物浦大学	G Master	2	0
982	2018	南部	13	小组赛E	福建工程学院	万维能电	桂林理工大学	信盈达	2	0
983	2018	南部	14	小组赛F	桂林电子科技大学	Evolution	电子科技大学	荣耀 One Point Five X	1	1
984	2018	南部	15	小组赛G	华南理工大学广州学院	野狼	厦门理工学院	LOT开拓者	2	0
985	2018	南部	16	小组赛H	吉林大学珠海学院	征途	中山大学	逸仙狮	0	2
986	2018	南部	17	小组赛A	深圳职业技术学院	RCIA	华南农业大学	Riser	1	1
987	2018	南部	18	小组赛B	深圳大学	RobotPilots	厦门大学嘉庚学院&厦门大学漳州校区	海韵机器人	2	0
988	2018	南部	19	小组赛C	北京理工大学（珠海）	高巨毅恒	哈尔滨工业大学（深圳）	南工骁鹰	2	0
989	2018	南部	20	小组赛D	西交利物浦大学	G Master	五邑大学	IMCA	0	2
990	2018	南部	21	小组赛E	桂林理工大学	信盈达	四川大学	火锅	1	1
991	2018	南部	22	小组赛F	电子科技大学	荣耀 One Point Five X	南方科技大学	Artinx	2	0
992	2018	南部	23	小组赛G	厦门理工学院	LOT开拓者	华南理工大学	荣耀 华南虎	0	2
993	2018	南部	24	小组赛H	中山大学	逸仙狮	佛山科学技术学院	醒狮	0	2
994	2018	南部	25	小组赛A	贵州师范学院	Jumper	东莞理工学院	ACE	1	1
995	2018	南部	26	小组赛B	黄冈师范学院	HDR	电子科技大学中山学院	RoboBraver	0	2
996	2018	南部	27	小组赛C	上海第二工业大学	LEGENDARY	仲恺农业工程学院	奇点	0	2
997	2018	南部	28	小组赛D	南华大学	MA	广西师范大学	虎师	2	0
998	2018	南部	29	小组赛E	钦州学院	飞虎	福建工程学院	万维能电	1	1
999	2018	南部	30	小组赛F	重庆大学	Allspark	桂林电子科技大学	Evolution	2	0
1000	2018	南部	31	小组赛G	中南大学	WinTs	华南理工大学广州学院	野狼	0	2
