学校名称,队伍名称,简称4字,简称2字
上海交通大学,交龙,上海交大,上交
上海大学,SRM,上海大学,上大
上海工程技术大学,木鸢Birdiebot,上工程,木鸢
上海科技大学,Magician,上科大,上科
东北大学,TDT,东北大学,东大
东北大学秦皇岛分校,征龙凌沧,东秦,东秦
东北林业大学,Ares,东北林大,东林
东华大学,DIODE,东华大学,东华
东南大学,3SE,东南大学,东南
东莞理工学院,ACE,东莞理工,莞工
中北大学,606,中北大学,中北
中南大学,FYT,中南大学,中南
中国石油大学（北京）,SPR,石大北京,SPR
中国石油大学（华东）,RPS,石大华东,RPS
中国矿业大学,CUBOT,中国矿大,矿大
中国科学技术大学,RoboWalker,中科大,中科
云南大学,Future,云南大学,云大
五邑大学,IMCA,五邑大学,五邑
仲恺农业工程学院,奇点,仲恺,仲恺
佛山大学,醒狮,佛山大学,佛大
内蒙古科技大学,雷霆,内科大,内科
北京信息科技大学,星辰,北信科,北信
北京工业大学,PIP,北京工业,北工
北京理工大学,追梦,北理工,北理
北京理工大学珠海学院,毅恒,北理珠,北珠
北京理工大学（珠海）,毅恒,北理珠,北珠
北京科技大学,Reborn,北科大,北科
北京邮电大学,鸿雁,北京邮电,北邮
北方工业大学,DreamTeam,北方工业,北工
华东理工大学,起源,华东理工,起源
华中科技大学,狼牙,华中科大,华科
华北理工大学,Horizon,华北理工,华理
华北科技学院,风暴,华北科技,风暴
华南农业大学,Taurus,华南农业,华农
华南师范大学,PIONEER,华南师大,华师
华南师范大学（佛山校区）,VANGUARD,华师佛山,华佛
华南理工大学,华南虎,华南理工,华工
南京理工大学,Alliance,南理工,南理
南京理工大学江阴校区,Combat,南理江阴,南江
南京航空航天大学,长空御风,南航,南航
南京航空航天大学金城学院,Born of Fire,南航金城,金城
南华大学,MA,南华大学,南华
南方科技大学,ARTINX,南科大,南科
南昌大学,Passion,南昌大学,南大
厦门大学,RCS,厦门大学,厦大
厦门大学嘉庚学院,TCR,厦大嘉庚,嘉庚
厦门理工学院,PFA,厦理工,厦理
合肥工业大学,苍穹,合工大,合工
合肥工业大学(宣城校区),WDR,合工宣,合宣
合肥工业大学（宣城校区）,WDR,合工宣,合宣
吉林大学,TARS Go,吉林大学,吉大
吉林大学,TARS_Go,吉林大学,吉大
同济大学,SuperPower,同济大学,同济
哈尔滨工业大学,I Hiter,哈工大,HIT
哈尔滨工业大学（威海）,HERO,哈工威,哈威
哈尔滨工业大学（深圳）,南工骁鹰,哈工深,哈深
哈尔滨工程大学,创梦之翼,哈工程,HEU
四川大学,火锅,四川大学,川大
国防科技大学,军临,国防科大,军临
复旦大学,星云EGA,复旦大学,复旦
大连理工大学,凌BUG,大连理工,大工
天津大学,北洋机甲,天津大学,天大
太原工业学院,火线,太原工业,太工
太原理工大学,TRoMaC,太原理工,太理
太原科技大学,NewMaker,太原科大,太科
宁波工程学院,New Legends,宁工,宁工
宁波诺丁汉大学,AIM,宁诺,宁诺
安徽信息工程学院,Artisans,安信工,安信
山东理工大学,齐奇,山东理工,山理
山东科技大学,SmartRobot,山东科大,山科
常州大学,Climber,常州大学,常大
常熟理工学院,R&A,常熟理工,常理
广东工业大学,DynamicX,广东工大,广工
广州城市理工学院,野狼,广城理,广城
广州航海学院,ICBK破冰船,广州航海,广航
广西大学,ROBOTZ,广西大学,桂大
应急管理大学,风暴,应急大,应大
